"","politician","wiki_name","birthday","death_date","age","bio","military_service","personal_details"
"2507","James Earl Major","J. Earl Major","1887-01-05"," 1972-01-04",NA,"James Earl MajorSenior Judge of the United States Court of Appeals for the Seventh CircuitIn officeMarch 23, 1956<U+00A0><U+0096> January 4, 1972Chief Judge of the United States Court of Appeals for the Seventh CircuitIn office1948<U+0096>1954Preceded byWilliam Morris SparksSucceeded byF. Ryan DuffyJudge of the United States Court of Appeals for the Seventh CircuitIn officeMarch 23, 1937<U+00A0><U+0096> March 23, 1956Appointed byFranklin D. RooseveltPreceded byLouis FitzHenrySucceeded byJohn Simpson HastingsJudge of the United States District Court for the Southern District of IllinoisIn officeJune 12, 1933<U+00A0><U+0096> April 5, 1937Appointed byFranklin D. RooseveltPreceded byLouis FitzHenrySucceeded byJ. Leroy AdairMember of the U.S. House of Representativesfrom Illinois's 21st districtIn officeMarch 4, 1931<U+00A0><U+0096> October 6, 1933Preceded byFrank M. RameySucceeded byHarry H. MasonIn officeMarch 4, 1927<U+00A0><U+0096> March 3, 1929Preceded byLoren E. WheelerSucceeded byFrank M. RameyIn officeMarch 4, 1923<U+00A0><U+0096> March 3, 1925Preceded byLoren E. WheelerSucceeded byLoren E. Wheeler",0,"BornJames Earl Major(1887-01-05)January 5, 1887Donnellson, IllinoisDiedJanuary 4, 1972(1972-01-04) (aged<U+00A0>84)Hillsboro, IllinoisResting placeOak Grove CemeteryPolitical partyDemocraticResidenceHillsboro, IllinoisEducationIllinois College of Lawread law"
"2508","Edward E. Miller","Edward E. Miller","1880-07-22"," 1946-08-01",NA,"Edward E. MillerMember of the U.S. House of Representativesfrom Illinois's 22nd districtIn officeMarch 4, 1923<U+00A0><U+0096> March 3, 1925Preceded byWilliam A. RodenbergSucceeded byEdward M. Irwin41st Treasurer of IllinoisIn officeJanuary 10, 1921<U+00A0><U+0096> March 4, 1923GovernorLen SmallPreceded byFred E. SterlingSucceeded byOscar Nelson",0,"Born(1880-07-22)July 22, 1880Creston, IowaDiedAugust 1, 1946(1946-08-01) (aged<U+00A0>66)St. Louis, MissouriPolitical partyRepublican"
"2509","William W. Arnold","William W. Arnold","1877-10-14"," 1957-11-23",NA,"William W. ArnoldMember of the U.S. House of Representativesfrom Illinois's 23rd districtIn officeMarch 4, 1923<U+00A0><U+0096> September 16, 1935Preceded byEdwin B. BrooksSucceeded byLaurence F. Arnold",0,"Born(1877-10-14)October 14, 1877Oblong, IllinoisDiedNovember 23, 1957(1957-11-23) (aged<U+00A0>80)Robinson, IllinoisPolitical partyDemocratic"
"2510","Thomas Sutler Williams","Thomas Sutler Williams","1872-02-14"," 1940-04-05",NA,"Thomas Sutler WilliamsJudge of the Court of ClaimsIn officeNovember 1, 1929<U+00A0><U+0096> April 5, 1940Appointed byHerbert HooverPreceded byNicholas J. SinnottSucceeded byJohn Marvin JonesMember of the U.S. House of Representativesfrom Illinois's 24th districtIn officeMarch 4, 1915<U+00A0><U+0096> November 11, 1929Preceded byH. Robert FowlerSucceeded byClaude V. ParsonsMember of the Illinois House of RepresentativesIn office1899-1901",0,"BornThomas Sutler Williams(1872-02-14)February 14, 1872Louisville, IllinoisDiedApril 5, 1940(1940-04-05) (aged<U+00A0>68)Washington, D.C.Resting placeCedar Hill CemeteryPolitical partyRepublicanEducationAustin College"
"2511","Morton D. Hull","Morton D. Hull","1867-01-13"," 1937-08-20",NA,"Morton D. HullMember of the U.S. House of Representativesfrom Illinois's 2nd districtIn officeApril 3, 1923<U+00A0><U+0096> March 3, 1933Preceded byJames Robert MannSucceeded byP. H. MoynihanMember of the Illinois House of RepresentativesIn office1906-1914Member of the Illinois SenateIn office1915-1922",0,"Born(1867-01-13)January 13, 1867Chicago, IllinoisDiedAugust 20, 1937(1937-08-20) (aged<U+00A0>70)Bennington, VermontPolitical partyRepublican"
"2512","Thomas A. Doyle","Thomas A. Doyle","1886-01-09"," 1935-01-29",NA,"Thomas A. DoyleMember of the U.S. House of Representativesfrom Illinois's 4th districtIn officeNovember 6, 1923<U+00A0><U+0096> March 3, 1931Preceded byJohn W. RaineySucceeded byHarry P. BeamMember of the Illinois House of RepresentativesIn office1918<U+0096>1923",0,"Born(1886-01-09)January 9, 1886Chicago, IllinoisDiedJanuary 29, 1935(1935-01-29) (aged<U+00A0>49)Chicago, IllinoisPolitical partyDemocratic"
"2513","William Richard Johnson","William Richard Johnson","1875-05-15"," 1938-01-02",NA,"William Richard JohnsonMember of the U.S. House of Representativesfrom Illinois's 13th districtIn officeMarch 4, 1925<U+00A0><U+0096> March 3, 1933Preceded byJohn C. McKenzieSucceeded byLeo E. Allen",0,"Born(1875-05-15)May 15, 1875Rock Island, IllinoisDiedJanuary 2, 1938(1938-01-02) (aged<U+00A0>62)Freeport, IllinoisPolitical partyRepublican"
"2514","John Clayton Allen","John Clayton Allen","1860-02-14"," 1939-01-12",NA,"John Clayton AllenMember of the U.S. House of Representativesfrom Illinois's 14th districtIn officeMarch 4, 1925<U+00A0><U+0096> March 3, 1933Preceded byWilliam J. GrahamSucceeded byChester C. Thompson",0,"Born(1860-02-14)February 14, 1860Hinesburg, VermontDiedJanuary 12, 1939(1939-01-12) (aged<U+00A0>78)Monmouth, IllinoisPolitical partyRepublican"
"2515","Edward M. Irwin","Edward M. Irwin","1869-04-14"," 1933-01-30",NA,"Edward M. IrwinMember of the U.S. House of Representativesfrom Illinois's 22nd districtIn officeMarch 4, 1925<U+00A0><U+0096> March 3, 1931Preceded byEdward E. MillerSucceeded byCharles A. Karch",0,"Born(1869-04-14)April 14, 1869Leasburg, MissouriDiedJanuary 30, 1933(1933-01-30) (aged<U+00A0>63)Belleville, IllinoisPolitical partyRepublican"
"2516","James T. Igoe","James T. Igoe","1883-10-23"," 1971-12-02",NA,"James T. IgoeMember of the U.S. House of Representativesfrom Illinois's 6th districtIn officeMarch 4, 1927<U+00A0><U+0096> March 3, 1933Preceded byJohn J. GormanSucceeded byThomas J. O'Brien",0,"Born(1883-10-23)October 23, 1883Chicago, IllinoisDiedDecember 2, 1971(1971-12-02) (aged<U+00A0>88)Evanston, IllinoisPolitical partyDemocratic"
"2517","John T. Buckbee","John T. Buckbee","1936-04-23",NA,NA,"John T. BuckbeeMember of the U.S. House of Representativesfrom Illinois's 12th districtIn officeMarch 4, 1927<U+00A0><U+0096> April 23, 1936Preceded byCharles E. FullerSucceeded byNoah M. Mason",0,"BornJohn Theodore BuckbeeAugust 1, 1871near Rockford, Illinois, USADiedApril 23, 1936(1936-04-23) (aged<U+00A0>64)Rockford, Illinois, USAPolitical partyRepublicanOccupationCongressman"
"2518","Homer W. Hall","Homer W. Hall","1870-07-22"," 1954-09-22",NA,"Homer W. HallMember of the U.S. House of Representativesfrom Illinois's 17th districtIn officeMarch 4, 1927<U+00A0><U+0096> March 3, 1933Preceded byFrank H. FunkSucceeded byFrank Gillespie",0,"Born(1870-07-22)July 22, 1870Shelbyville, IllinoisDiedSeptember 22, 1954(1954-09-22) (aged<U+00A0>84)Bloomington, IllinoisPolitical partyRepublican"
"2519","Oscar Stanton De Priest","Oscar Stanton De Priest","1871-03-09"," 1951-05-12",NA,"Oscar Stanton De PriestMember of the U.S. House of Representativesfrom Illinois's 1st districtIn officeMarch 4, 1929<U+00A0><U+0096> January 3, 1935Preceded byMartin B. MaddenSucceeded byArthur W. MitchellMember of the Chicago City CouncilIn office1943<U+0096>1947Constituency3rd WardIn office1915<U+0096>1917Succeeded byLouis B. AndersonConstituency2nd WardMember of the Cook County Board of CommissionersIn office1904<U+0096>1908",0,"Born(1871-03-09)March 9, 1871Florence, Alabama, U.S.DiedMay 12, 1951(1951-05-12) (aged<U+00A0>80)Chicago, Illinois, U.S.Resting placeGraceland CemeteryPolitical partyRepublicanSpouse(s)Jessie De PriestChildrenLaurence W. De PriestOscar Stanton De Priest, Jr."
"2520","Frank M. Ramey","Frank M. Ramey","1881-09-23"," 1942-03-27",NA,"Frank M. RameyMember of the U.S. House of Representativesfrom Illinois's 21st districtIn officeMarch 4, 1929<U+00A0><U+0096> March 3, 1931Preceded byJames Earl MajorSucceeded byJames Earl Major",0,"Born(1881-09-23)September 23, 1881Hillsboro, IllinoisDiedMarch 27, 1942(1942-03-27) (aged<U+00A0>60)Hillsboro, IllinoisPolitical partyRepublican"
"2521","P. H. Moynihan","P. H. Moynihan","1869-09-25"," 1946-05-20",NA,"P. H. MoynihanMember of the U.S. House of Representativesfrom Illinois's 2nd districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1935Preceded byMorton D. HullSucceeded byRaymond S. McKeough",0,"Born(1869-09-25)September 25, 1869Chicago, IllinoisDiedMay 20, 1946(1946-05-20) (aged<U+00A0>76)Chicago, IllinoisPolitical partyRepublican"
"2522","Edward A. Kelly","Edward A. Kelly","1892-04-03"," 1969-08-30",NA,"Edward A. KellyMember of the U.S. House of Representativesfrom Illinois's 3rd districtIn officeJanuary 3, 1945<U+00A0><U+0096> January 3, 1947Preceded byFred E. BusbeySucceeded byFred E. BusbeyIn officeMarch 4, 1931<U+00A0><U+0096> January 3, 1943Preceded byElliott W. SproulSucceeded byFred E. Busbey",0,"Born(1892-04-03)April 3, 1892Chicago, IllinoisDiedAugust 30, 1969(1969-08-30) (aged<U+00A0>77)Chicago, IllinoisPolitical partyDemocratic"
"2523","Harry P. Beam","Harry P. Beam","1892-11-23"," 1967-12-31",NA,"Harry P. BeamMember of the U.S. House of Representativesfrom Illinois's 4th districtIn officeMarch 4, 1931<U+00A0><U+0096> December 6, 1942Preceded byThomas A. DoyleSucceeded byMartin Gorski",0,"Born(1892-11-23)November 23, 1892Peoria, IllinoisDiedDecember 31, 1967(1967-12-31) (aged<U+00A0>75)Chicago, IllinoisPolitical partyDemocratic"
"2524","Leonard W. Schuetz","Leonard W. Schuetz","1887-11-16"," 1944-02-13",NA,"Leonard W. SchuetzMember of the U.S. House of Representativesfrom Illinois's 7th districtIn officeMarch 4, 1931<U+00A0><U+0096> February 13, 1944Preceded byM. Alfred MichaelsonSucceeded byWilliam W. Link",0,"Born(1887-11-16)November 16, 1887Posen, GermanyDiedFebruary 13, 1944(1944-02-13) (aged<U+00A0>56)Washington, D.C.Political partyDemocratic"
"2525","Leo Kocialkowski","Leo Kocialkowski","1882-08-16"," 1958-09-27",NA,"Leo KocialkowskiMember of the U.S. House of Representativesfrom Illinois's 8th districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1943Preceded byStanley H. KunzSucceeded byThomas S. Gordon",0,"Born(1882-08-16)August 16, 1882Chicago, IllinoisDiedSeptember 27, 1958(1958-09-27) (aged<U+00A0>76)Chicago, IllinoisPolitical partyDemocratic"
"2526","James Simpson Jr.","James Simpson, Jr.","1905-01-07"," 1960-02-29",NA,"James Simpson Jr.Member of the U.S. House of Representativesfrom Illinois's 10th districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1935Preceded byCarl R. ChindblomSucceeded byRalph E. Church",0,"Born(1905-01-07)January 7, 1905Chicago, IllinoisDiedFebruary 29, 1960(1960-02-29) (aged<U+00A0>55)Wadsworth, IllinoisPolitical partyRepublican"
"2527","Leo E. Allen","Leo E. Allen","1898-10-05"," 1973-01-19",NA,"Leo E. AllenChairman of the House Rules CommitteeIn officeJanuary 3, 1953<U+00A0><U+0096> January 3, 1955SpeakerJoseph W. Martin Jr.Preceded byAdolph J. SabathSucceeded byHoward W. SmithIn officeJanuary 3, 1947<U+00A0><U+0096> January 3, 1949Preceded byAdolph J. SabathSucceeded byAdolph J. SabathMember of theU.S. House of Representativesfrom IllinoisIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1961Preceded byWilliam R. JohnsonSucceeded byJohn B. AndersonConstituency13th district (1933-1949)16th district (1949-1961)",0,"Born(1898-10-05)October 5, 1898Elizabeth, Illinois U.S.DiedJanuary 19, 1973(1973-01-19) (aged<U+00A0>74)Galena, Illinois U.S.Political partyRepublicanAlma materUniversity of Michigan"
"2528","Chester Thompson","Chester Thompson",NA,NA,NA,"Chester ThompsonThompson playing with Genesis in 2007Background informationBirth nameChester Cortez ThompsonBorn (1948-12-11) December 11, 1948 (age<U+00A0>71)Baltimore, Maryland, U.S.Genres
Jazz
Progressive rock
pop rock
jazz fusionInstruments
Drums
percussionYears active1970<U+0096>presentAssociated actsO'Donel Levy (1971<U+0096>1973)Frank Zappa / The Mothers of Invention (1973<U+0096>1975)Weather Report (1975<U+0096>1976)Genesis (1976<U+0096>1992, 2007 as tour drummer)Steve Hackett (1978, 1995)Phil Collins (1982/83, 1985, 1990, 1999, 2004/05 as tour drummer)Santana (1984)
Bee Gees (1989 as tour drummer)Ron Kenoly (1992<U+0096>1995)Era (1996)
Chester Thompson Trio (2011<U+0096>)
Websitewww.ChesterThompson.com",NA,NA
"2529","J. Leroy Adair","J. Leroy Adair","1887-02-23"," 1956-01-19",NA,"J. Leroy AdairJudge of the United States District Court for the Southern District of IllinoisIn officeApril 27, 1937<U+00A0><U+0096> January 19, 1956Appointed byFranklin D. RooseveltPreceded byJames Earl MajorSucceeded byFrederick Olen MercerMember of the U.S. House of Representativesfrom Illinois's 15th districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1937Preceded byBurnett M. ChiperfieldSucceeded byLewis L. BoyerMember of the Illinois Senate from the 36th districtIn office1928-1932",0,"BornJackson Leroy Adair(1887-02-23)February 23, 1887Clayton, IllinoisDiedJanuary 19, 1956(1956-01-19) (aged<U+00A0>68)Quincy, IllinoisResting placeSouth Side CemeteryClayton, IllinoisPolitical partyDemocraticEducationUniversity of Michigan Law School (LL.B.)"
"2530","Everett Dirksen","Everett Dirksen","1896-01-04"," 1969-09-07",NA,"Everett DirksenSenate Minority LeaderIn officeJanuary 3, 1959<U+00A0><U+0096> September 7, 1969DeputyThomas KuchelHugh ScottPreceded byWilliam F. KnowlandSucceeded byHugh ScottSenate Minority WhipIn officeJanuary 3, 1957<U+00A0><U+0096> January 3, 1959LeaderWilliam F. KnowlandPreceded byLeverett SaltonstallSucceeded byThomas KuchelUnited States Senatorfrom IllinoisIn officeJanuary 3, 1951<U+00A0><U+0096> September 7, 1969Preceded byScott W. LucasSucceeded byRalph Tyler SmithMember of the U.S. House of Representativesfrom Illinois's 16th districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1949Preceded byWilliam E. HullSucceeded byLeo E. Allen",1,"BornEverett McKinley Dirksen(1896-01-04)January 4, 1896Pekin, Illinois, U.S.DiedSeptember 7, 1969(1969-09-07) (aged<U+00A0>73)Washington, D.C., U.S.Political partyRepublicanSpouse(s)Louella Carver (m.<U+00A0>1927)ChildrenJoy DirksenEducationUniversity of MinnesotaMilitary serviceAllegiance<U+00A0>United StatesBranch/service United States ArmyYears<U+00A0>of service1918<U+0096>1919Rank Second LieutenantBattles/warsWorld War I"
"2531","Frank Gillespie","Frank Gillespie","1869-04-18"," 1954-11-26",NA,"Frank GillespieMember of the U.S. House of Representativesfrom Illinois's 17th districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1935Preceded byHomer W. HallSucceeded byLeslie C. Arends",0,"Born(1869-04-18)April 18, 1869White Sulphur Springs, West VirginiaDiedNovember 26, 1954(1954-11-26) (aged<U+00A0>85)Bloomington, IllinoisPolitical partyDemocratic"
"2532","James A. Meeks","James A. Meeks","1864-03-07"," 1946-11-10",NA,"James A. MeeksMember of the U.S. House of Representativesfrom Illinois's 18th districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1939Preceded byWilliam P. HoladaySucceeded byJessie Sumner",0,"Born(1864-03-07)March 7, 1864Matamoras, OhioDiedNovember 10, 1946(1946-11-10) (aged<U+00A0>82)Danville, IllinoisPolitical partyDemocratic"
"2533","Donald C. Dobbins","Donald C. Dobbins","1878-03-20"," 1943-02-14",NA,"Donald C. DobbinsMember of the U.S. House of Representativesfrom Illinois's 19th districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1937Preceded byCharles AdkinsSucceeded byHugh M. Rigney",0,"Born(1878-03-20)March 20, 1878Dewey, IllinoisDiedFebruary 14, 1943(1943-02-14) (aged<U+00A0>64)Champaign, IllinoisPolitical partyDemocratic"
"2534","Edwin M. Schaefer","Edwin M. Schaefer","1887-05-14"," 1950-11-08",NA,"Edwin M. SchaeferMember of the U.S. House of Representativesfrom Illinois's 22nd districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1943Preceded byCharles A. KarchSucceeded byCalvin D. Johnson",0,"Born(1887-05-14)May 14, 1887Belleville, IllinoisDiedNovember 8, 1950(1950-11-08) (aged<U+00A0>63)St. Louis, MissouriPolitical partyDemocratic"
"2535","Claude V. Parsons","Claude V. Parsons","1895-10-07"," 1941-05-23",NA,"Claude V. ParsonsMember of the U.S. House of Representativesfrom Illinois's 24th districtIn officeNovember 4, 1930<U+00A0><U+0096> January 3, 1941Preceded byThomas Sutler WilliamsSucceeded byJames V. Heidinger",0,"BornClaude VanCleve Parsons(1895-10-07)October 7, 1895Pope County, IllinoisDiedMay 23, 1941(1941-05-23) (aged<U+00A0>45)Washington, D.C.Political partyDemocraticOccupationeditor and newspaper publisher"
"2536","Kent E. Keller","Kent E. Keller","1867-06-04"," 1954-09-03",NA,"Kent E. KellerMember of the U.S. House of Representativesfrom Illinois's 25th districtIn officeMarch 4, 1931<U+00A0><U+0096> January 3, 1941Preceded byEdward E. DenisonSucceeded byC. W. Bishop",0,"Born(1867-06-04)June 4, 1867Campbell Hill, IllinoisDiedSeptember 3, 1954(1954-09-03) (aged<U+00A0>87)Ava, IllinoisPolitical partyDemocratic"
"2537","Arthur Wergs Mitchell","Arthur W. Mitchell","1883-12-22"," 1968-05-09",NA,"Arthur W. MitchellMember of the U.S. House of Representativesfrom Illinois's 1st districtIn officeJanuary 3, 1935<U+00A0><U+0096> January 3, 1943Preceded byOscar S. De PriestSucceeded byWilliam L. Dawson",0,"Born(1883-12-22)December 22, 1883Lafayette, AlabamaDiedMay 9, 1968(1968-05-09) (aged<U+00A0>84)Petersburg, VirginiaPolitical partyRepublican (Until 1932) Democrat (After 1932)Spouse(s)Eula Mae King (m. January 11, 1905 - d. 1910) 1 son
Annie H. Mitchell (married ca. 1919 - d. March 7, 1947)

Clara D. Smith (m. March 20, 1948 - his death May 9, 1968)ProfessionLawyer, Farmer"
"2538","Raymond S. McKeough","Raymond S. McKeough","1888-04-29"," 1979-12-16",NA,"Raymond S. McKeoughMember of the U.S. House of Representativesfrom Illinois's 2nd districtIn officeJanuary 3, 1935<U+00A0><U+0096> January 3, 1943Preceded byP. H. MoynihanSucceeded byWilliam A. Rowan",0,"Born(1888-04-29)April 29, 1888Chicago, IllinoisDiedDecember 16, 1979(1979-12-16) (aged<U+00A0>91)Chicago, IllinoisPolitical partyDemocratic"
"2539","James McAndrews","James McAndrews","1862-10-22"," 1942-08-31",NA,"James McAndrewsChicago Eagle newspaper, June 7, 1913Member of the U.S. House of Representativesfrom Illinois's 9th districtIn officeJanuary 3, 1935<U+00A0><U+0096> January 3, 1941Preceded byFrederick A. BrittenSucceeded byCharles S. DeweyMember of the U.S. House of Representativesfrom Illinois's 6th districtIn officeMarch 4, 1913<U+00A0><U+0096> March 3, 1921Preceded byEdmund J. StackSucceeded byJohn J. GormanMember of the U.S. House of Representativesfrom Illinois's 5th districtIn officeMarch 4, 1903<U+00A0><U+0096> March 3, 1905Preceded byWilliam F. MahoneySucceeded byAnthony MichalekMember of the U.S. House of Representativesfrom Illinois's 4th districtIn officeMarch 4, 1901<U+00A0><U+0096> March 3, 1903Preceded byThomas CusackSucceeded byGeorge Peter Foster",0,"Born(1862-10-22)October 22, 1862Woonsocket, Rhode IslandDiedAugust 31, 1942(1942-08-31) (aged<U+00A0>79)Chicago, IllinoisPolitical partyDemocratic"
